Name,Team,Role,Matches,Runs,Average,SR,Wickets,Age
Khaleel Ahmed,SRH,BOWLER,17,0,0.0,0.0,27,25
Mohammed Azharuddeen,RCB,WICKET KEEPER,0,0,0.0,0.0,0,25
Srikar Bharat,RCB,WICKET KEEPER,0,0,0.0,0.0,0,25
Praveen Dubey,DC,BOWLER,3,7,0.0,53.85,0,25
Ishan Porel,PBKS,BOWLER,0,0,0.0,0.0,0,25
Anuj Rawat,RR,WICKET KEEPER,0,0,0.0,0.0,0,25
Yudhvir Singh,MI,BOWLER,0,0,0.0,0.0,0,25
Darshan Nalkande,PBKS,BOWLER,0,0,0.0,0.0,0,25
Manimaran Siddharth,DC,BOWLER,0,0,0.0,0.0,0,25
Lukman Meriwala,DC,BOWLER,0,0,0.0,0.0,0,22
Ripal Patel,DC,BOWLER,0,0,0.0,0.0,0,25
Riley Meredith,PBKS,BOWLER,0,0,0.0,0.0,0,25
Bhagath Varma,CSK,ALL ROUNDER,0,0,0.0,0.0,0,25
Utkarsh Singh,PBKS,BOWLER,0,0,0.0,0.0,0,25
Lalit Yadav,DC,ALL ROUNDER,0,0,0.0,0.0,0,25
Tim Seifert,KKR,WICKET KEEPER,0,0,0.0,0.0,0,25
Mohsin Khan,MI,BOWLER,0,0,0.0,0.0,0,25
Lockie Ferguson,KKR,BOWLER,14,44,0.0,146.67,11,25
Harpreet Brar,PBKS,ALL ROUNDER,3,20,0.0,166.67,0,25
Sandeep Warrier,KKR,BOWLER,4,0,0.0,0.0,2,25
Avesh Khan,DC,BOWLER,9,4,0.0,133.33,5,25
Jalaj Saxena,PBKS,ALL ROUNDER,0,0,0.0,0.0,0,25
Fabian Allen,PBKS,ALL ROUNDER,0,0,0.0,0.0,0,25
Jhye Richardson,PBKS,ALL ROUNDER,0,0,0.0,0.0,0,25
Shahrukh Khan,PBKS,ALL ROUNDER,0,0,0.0,0.0,0,25
Saurabh Kumar,PBKS,ALL ROUNDER,0,0,0.0,0.0,0,25
Vaibhav Arora,KKR,BOWLER,0,0,0.0,0.0,0,25
Venkatesh Iyer,KKR,ALL ROUNDER,0,0,0.0,0.0,0,25
Arshdeep Singh,PBKS,BOWLER,11,0,0.0,0.0,12,25
